"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4679","5289","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-K","National Socialist Council of Nagaland- Khaplang faction","n/a","224","","","","1999-08-19","1","2011-02-25","2","1","2011-03-15","1","2011","37","37","37","India","750","3","22.1"
"4680","5290","1","NSCN-IM","National Socialist Council of Nagaland – Isaac-Muivah faction","n/a","223","","","","NSCN-U","National Socialist Council of Nagaland - Unification","n/a","798","","","","2008-04-17","1","2008-06-07","1","1","2008-08-01","1","2008","36","36","49","India","750","3","22.1"
"4681","5291","3","Nyangatom , Toposa","Nyangatom , Toposa","Nyangatom , Toposa","3806","712, 692","","","Turkana","Turkana","Turkana","693","","","","2006-01-13","1","2006-01-13","1","1","2006-01-13","1","2006","58","58","58","Kenya","501","4","22.1"
"4682","5292","3","Ogaden clan (Darod)","Ogaden clan (Darod)","n/a","663","","","","Sheikhal clan (Dir)","Sheikhal clan (Dir)","n/a","682","","","","1999-09-01","2","1999-09-09","3","1","1999-09-09","3","1999","70","70","70","Somalia","520","4","22.1"
"4682","5292","3","Ogaden clan (Darod)","Ogaden clan (Darod)","n/a","663","","","","Sheikhal clan (Dir)","Sheikhal clan (Dir)","n/a","682","","","","1999-09-01","2","2002-03-31","3","1","2002-05-31","3","2002","435","435","435","Ethiopia","530","4","22.1"
"4683","5293","3","Oromo","Oromo","Oromo","664","","","","Somali","Somali","Somali","685","","","","1991-07-07","1","2000-07-16","2","1","2000-07-16","2","2000","40","40","40","Ethiopia","530","4","22.1"
"4683","5293","3","Oromo","Oromo","Oromo","664","","","","Somali","Somali","Somali","685","","","","1991-07-07","1","2003-12-26","1","1","2003-12-26","1","2003","33","33","33","Ethiopia","530","4","22.1"
"4683","5293","3","Oromo","Oromo","Oromo","664","","","","Somali","Somali","Somali","685","","","","1991-07-07","1","2005-02-22","1","1","2005-06-30","5","2005","102","102","102","Ethiopia","530","4","22.1"
"4683","5293","3","Oromo","Oromo","Oromo","664","","","","Somali","Somali","Somali","685","","","","1991-07-07","1","2017-01-15","2","0","","","2017","276","258","300","Ethiopia","530","4","22.1"
"4683","5293","3","Oromo","Oromo","Oromo","664","","","","Somali","Somali","Somali","685","","","","1991-07-07","1","2017-01-15","2","1","2018-12-15","1","2018","56","49","86","Djibouti, Ethiopia","522, 530","4","22.1"
"4684","5294","1","Palipehutu-FNL","Party for the Liberation of the Hutu People-Forces for National Liberation","Parti pour la libération du peuple Hutu-Forces nationales de libération","432","","","","Palipehutu-FNL - LP","Party for the Liberation of the Hutu People-Forces for National Liberation - Lovers of Peace faction","Parti pour la libération du peuple Hutu-Forces nationales de libération - Lovers of Peace Faction","786","","","","2007-09-04","1","2007-09-04","1","1","2007-10-21","1","2007","52","46","52","Burundi","516","4","22.1"
