,Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
113,2016,Syria,Education,3529951.79,78633,98866
114,2016,Syria,Emergency Shelter and NFI,8536804.7934,239014,292492
115,2016,Syria,Food Security,13506517.2196,1210129,1508744
116,2016,Syria,Health,9681550.7952,858195,936210
117,2016,Syria,Logistics,2000000.1,1,1
118,2016,Syria,Nutrition,2249638.2,421780,526480
119,2016,Syria,Protection,2266762.0158,160367,160313
120,2016,Syria,Water Sanitation Hygiene,7219365.916,1309374,2007123
121,2016,Syria Cross border,Camp Coordination / Management,18021742.4912,523614,562461
122,2016,Syria Cross border,Education,6002385.4294,99421,122429
123,2016,Syria Cross border,Emergency Shelter and NFI,12453800.6976,333955,375818
124,2016,Syria Cross border,Food Security,15596295.5912,575714,728789
125,2016,Syria Cross border,Health,18503209.381,4069916,4151020
126,2016,Syria Cross border,Nutrition,735511.309,110948,117624
127,2016,Syria Cross border,Protection,7813139.763,478069,680887
128,2016,Syria Cross border,Water Sanitation Hygiene,14187811.7076,1429561,1620140
129,2016,Yemen,Emergency Shelter and NFI,14142502.881,260649,356835
130,2016,Yemen,Food Security,20233471.6173,565113,693790
131,2016,Yemen,Health,16954809.99905,1604289,1908747
132,2016,Yemen,Logistics,999498.77,250,172
133,2016,Yemen,Nutrition,18084554.73575,1173963,1260282
134,2016,Yemen,Protection,3876946.7777,3283973,3592205
135,2016,Yemen,Water Sanitation Hygiene,19782109.2692,996198,1622899
0,2017,Afghanistan,Coordination and Support Services,1332389.0267,79099,107512
1,2017,Afghanistan,Emergency Shelter and NFI,2507978.1141,53318,57148
2,2017,Afghanistan,Food Security,4123497.84,348418,534190
3,2017,Afghanistan,Health,12144168.2579,2114544,2304107
4,2017,Afghanistan,Nutrition,10664484.808,394557,513885
5,2017,Afghanistan,Protection,8929325.6076,1628240,1814229
6,2017,Afghanistan,Water Sanitation Hygiene,5184775.065699999,572665,763502
7,2017,CAR,Camp Coordination / Management,250980.99,30775,45779
8,2017,CAR,Early Recovery,827000.655,15365,17092
9,2017,CAR,Education,2159225.0604,52391,70542
10,2017,CAR,Emergency Shelter and NFI,3220914.7584000006,62908,119614
11,2017,CAR,Food Security,1715170.1261999998,29869,29538
12,2017,CAR,Health,1773131.691,114488,106984
13,2017,CAR,Logistics,2892278.72,3086,2588
14,2017,CAR,Nutrition,1737237.5575,95894,91080
15,2017,CAR,Protection,2791390.7410000004,132624,149585
16,2017,CAR,Water Sanitation Hygiene,4776658.5105,522027,581313
17,2017,Colombia,Early Recovery,104999.35,1320,1342
18,2017,Colombia,Education,45000.0,960,1602
19,2017,Colombia,Emergency Shelter and NFI,45000.0,960,1602
20,2017,Colombia,Food Security,165000.0,1922,2542
